Date,Cryptocurrency,CoinDeskTweets,Open,High,Low,Closing Price (in $)
2024-01-01,Bitcoin,Bitcoin adoption grows in major financial institutions,35000.00,35500.00,34500.00,35200.00
2024-01-02,Bitcoin,Positive regulatory developments boost Bitcoin market,35250.00,35700.00,34800.00,35550.00
2024-01-03,Bitcoin,New breakthrough in Bitcoin technology announced,35600.00,36200.00,35200.00,36000.00
2024-01-04,Bitcoin,Bitcoin sees increased interest from institutional investors, 36050.00,36500.00,35500.00,36350.00
2024-01-05,Bitcoin,Bitcoin adoption grows in major financial institutions,36200.00,36700.00,35700.00,36500.00
2024-01-06,Bitcoin,Positive regulatory developments boost Bitcoin market,36550.00,37000.00,36000.00,36800.00
2024-01-07,Bitcoin,New breakthrough in Bitcoin technology announced,36800.00,37200.00,36300.00,37050.00
2024-01-08,Bitcoin,Bitcoin sees increased interest from institutional investors, 37050.00,37500.00,36600.00,37250.00
2024-01-09,Bitcoin,Bitcoin adoption grows in major financial institutions,37300.00,37800.00,36900.00,37600.00
2024-01-10,Bitcoin,Positive regulatory developments boost Bitcoin market,37650.00,38100.00,37200.00,37900.00
2024-01-11,Bitcoin,Bitcoin faces regulatory scrutiny price drops,38000.00,38200.00,37500.00,37700.00
2024-01-12,Bitcoin,Market uncertainty impacts Bitcoin negatively,37750.00,37900.00,37100.00,37300.00
2024-01-13,Bitcoin,Security breach shakes confidence in Bitcoin,37300.00,37500.00,36600.00,36900.00
2024-01-14,Bitcoin,Bitcoin transaction fees skyrocket users frustrated,36950.00,37100.00,36300.00,36500.00
2024-01-15,Bitcoin,Bitcoin faces regulatory scrutiny price drops,36550.00,36700.00,35900.00,36100.00
2024-01-16,Bitcoin,Market uncertainty impacts Bitcoin negatively,36100.00,36300.00,35500.00,35900.00
2024-01-17,Bitcoin,Security breach shakes confidence in Bitcoin,35950.00,36100.00,35300.00,35500.00
2024-01-18,Bitcoin,Bitcoin transaction fees skyrocket users frustrated,35500.00,35700.00,34900.00,35100.00
2024-01-19,Bitcoin,Bitcoin faces regulatory scrutiny price drops,35100.00,35300.00,34500.00,34700.00
2024-01-20,Bitcoin,Market uncertainty impacts Bitcoin negatively,34700.00,34900.00,34100.00,34300.00
2024-01-21,Bitcoin,Bitcoin price stabilizes amidst market consolidation,34500.00,34700.00,34200.00,34550.00
2024-01-22,Bitcoin,Bitcoin trading volume remains steady,34550.00,34800.00,34300.00,34650.00
2024-01-23,Bitcoin,Minor fluctuations observed in Bitcoin price,34650.00,34900.00,34400.00,34700.00
2024-01-24,Bitcoin,Bitcoin market experiences calm trading,34700.00,35000.00,34500.00,34800.00
2024-01-25,Bitcoin,Bitcoin price remains relatively stable,34800.00,35100.00,34600.00,34950.00
2024-01-26,Bitcoin,Bitcoin trading volume remains steady,34950.00,35200.00,34700.00,35050.00
2024-01-27,Bitcoin,Minor fluctuations observed in Bitcoin price,35050.00,35300.00,34800.00,35150.00
2024-01-28,Bitcoin,Bitcoin market experiences calm trading,35150.00,35400.00,34900.00,35250.00
2024-01-29,Bitcoin,Bitcoin price remains relatively stable,35250.00,35500.00,35000.00,35350.00
2024-01-30,Bitcoin,Bitcoin trading volume remains steady,35350.00,35600.00,35100.00,35450.00
2024-01-31,Bitcoin,Bitcoin transaction fees skyrocket users frustrated,36950.00,37100.00,36300.00,36500.00
2024-01-01,Dash,Dash network upgrade successfully implemented,250.00,255.00,245.00,252.00
2024-01-02,Dash,Dash adoption grows in emerging markets,252.50,257.00,249.00,255.50
2024-01-03,Dash,New partnership boosts Dash ecosystem,256.00,261.00,253.00,259.00
2024-01-04,Dash,Dash sees increased usage in decentralized finance,259.50,264.00,256.00,262.50
2024-01-05,Dash,Positive regulatory developments favor Dash market,263.00,268.00,260.00,265.00
2024-01-06,Dash,Dash network upgrade successfully implemented,265.50,270.00,262.00,267.50
2024-01-07,Dash,Dash adoption grows in emerging markets,268.00,273.00,265.00,270.00
2024-01-08,Dash,New partnership boosts Dash ecosystem,270.50,275.00,267.00,272.50
2024-01-09,Dash,Dash sees increased usage in decentralized finance,273.00,278.00,270.00,275.00
2024-01-10,Dash,Positive regulatory developments favor Dash market,275.50,280.00,272.00,277.50
2024-01-11,Dash,Dash faces regulatory scrutiny price drops,280.00,282.00,275.00,278.00
2024-01-12,Dash,Market uncertainty impacts Dash negatively,278.50,280.00,273.00,276.50
2024-01-13,Dash,Security breach shakes confidence in Dash,276.00,278.00,271.00,274.00
2024-01-14,Dash,Dash transaction fees skyrocket users frustrated,274.50,276.00,269.00,272.50
2024-01-15,Dash,Dash faces regulatory scrutiny price drops,272.00,274.00,267.00,270.00
2024-01-16,Dash,Market uncertainty impacts Dash negatively,270.50,272.00,265.00,268.50
2024-01-17,Dash,Security breach shakes confidence in Dash,268.00,270.00,263.00,266.00
2024-01-18,Dash,Dash transaction fees skyrocket users frustrated,266.50,268.00,261.00,264.50
2024-01-19,Dash,Dash faces regulatory scrutiny price drops,264.00,266.00,259.00,262.00
2024-01-20,Dash,Market uncertainty impacts Dash negatively,262.50,264.00,257.00,260.50
2024-01-21,Dash,Dash price stabilizes amidst market consolidation,260.00,262.00,258.00,261.00
2024-01-22,Dash,Dash trading volume remains steady,261.00,263.00,259.00,262.00
2024-01-23,Dash,Minor fluctuations observed in Dash price,262.00,264.00,260.00,263.00
2024-01-24,Dash,Dash market experiences calm trading,263.00,265.00,261.00,264.00
2024-01-25,Dash,Dash price remains relatively stable,264.00,266.00,262.00,265.00
2024-01-26,Dash,Dash trading volume remains steady,265.00,267.00,263.00,266.00
2024-01-27,Dash,Minor fluctuations observed in Dash price,266.00,268.00,264.00,267.00
2024-01-28,Dash,Dash market experiences calm trading,267.00,269.00,265.00,268.00
2024-01-29,Dash,Dash price remains relatively stable,268.00,270.00,266.00,269.00
2024-01-30,Dash,Dash trading volume remains steady,269.00,271.00,267.00,270.00
2024-01-31,Dash,Minor fluctuations observed in Dash price,270.00,272.00,268.00,271.00
2024-01-01,Litecoin,Litecoin launches new feature positive market sentiment,150.00,155.00,145.00,152.00
2024-01-02,Litecoin,Litecoin community expands increased adoption,152.50,157.00,148.00,155.50
2024-01-03,Litecoin,New partnership boosts Litecoin ecosystem,156.00,161.00,153.00,159.00
2024-01-04,Litecoin,Litecoin sees increased usage in decentralized finance,159.50,164.00,156.00,162.50
2024-01-05,Litecoin,Positive regulatory developments favor Litecoin market,163.00,168.00,160.00,165.00
2024-01-06,Litecoin,Litecoin launches new feature positive market sentiment,165.50,170.00,162.00,167.50
2024-01-07,Litecoin,Litecoin community expands increased adoption,168.00,173.00,165.00,170.00
2024-01-08,Litecoin,New partnership boosts Litecoin ecosystem,170.50,175.00,167.00,172.50
2024-01-09,Litecoin,Litecoin sees increased usage in decentralized finance,173.00,178.00,170.00,175.00
2024-01-10,Litecoin,Positive regulatory developments favor Litecoin market,175.50,180.00,172.00,177.50
2024-01-11,Litecoin,Litecoin faces regulatory scrutiny price drops,180.00,182.00,175.00,178.00
2024-01-12,Litecoin,Market uncertainty impacts Litecoin negatively,178.50,180.00,173.00,176.50
2024-01-13,Litecoin,Security breach shakes confidence in Litecoin,176.00,178.00,171.00,174.00
2024-01-14,Litecoin,Litecoin transaction fees skyrocket users frustrated,174.50,176.00,169.00,172.50
2024-01-15,Litecoin,Litecoin faces regulatory scrutiny price drops,172.00,174.00,167.00,170.00
2024-01-16,Litecoin,Market uncertainty impacts Litecoin negatively,170.50,172.00,165.00,168.50
2024-01-17,Litecoin,Security breach shakes confidence in Litecoin,168.00,170.00,163.00,166.00
2024-01-18,Litecoin,Litecoin transaction fees skyrocket users frustrated,166.50,168.00,161.00,164.50
2024-01-19,Litecoin,Litecoin faces regulatory scrutiny price drops,164.00,166.00,159.00,162.00
2024-01-20,Litecoin,Market uncertainty impacts Litecoin negatively,162.50,164.00,157.00,160.50
2024-01-21,Litecoin,Litecoin price stabilizes amidst market consolidation,160.00,162.00,158.00,161.00
2024-01-22,Litecoin,Litecoin trading volume remains steady,161.00,163.00,159.00,162.00
2024-01-23,Litecoin,Minor fluctuations observed in Litecoin price,162.00,164.00,160.00,163.00
2024-01-24,Litecoin,Litecoin market experiences calm trading,163.00,165.00,161.00,164.00
2024-01-25,Litecoin,Litecoin price remains relatively stable,164.00,166.00,162.00,165.00
2024-01-26,Litecoin,Litecoin trading volume remains steady,165.00,167.00,163.00,166.00
2024-01-27,Litecoin,Minor fluctuations observed in Litecoin price,166.00,168.00,164.00,167.00
2024-01-28,Litecoin,Litecoin market experiences calm trading,167.00,169.00,165.00,168.00
2024-01-29,Litecoin,Litecoin price remains relatively stable,168.00,170.00,166.00,169.00
2024-01-30,Litecoin,Litecoin trading volume remains steady,169.00,171.00,167.00,170.00
2024-01-31,Litecoin,Minor fluctuations observed in Litecoin price,170.00,172.00,168.00,171.00
2024-01-01,Bitcoin-Cash,Bitcoin-Cash achieves major milestone bullish sentiment,300.00,305.00,295.00,302.00
2024-01-02,Bitcoin-Cash,Adoption of Bitcoin-Cash increases in key markets,302.50,307.00,298.00,305.50
2024-01-03,Bitcoin-Cash,New partnership boosts Bitcoin-Cash ecosystem,306.00,311.00,303.00,309.00
2024-01-04,Bitcoin-Cash,Bitcoin-Cash sees increased usage in decentralized finance,309.50,314.00,306.00,312.50
2024-01-05,Bitcoin-Cash,Positive regulatory developments favor Bitcoin-Cash market,313.00,318.00,310.00,315.00
2024-01-06,Bitcoin-Cash,Bitcoin-Cash achieves major milestone bullish sentiment,315.50,320.00,312.00,317.50
2024-01-07,Bitcoin-Cash,Adoption of Bitcoin-Cash increases in key markets,318.00,323.00,315.00,320.00
2024-01-08,Bitcoin-Cash,New partnership boosts Bitcoin-Cash ecosystem,320.50,325.00,317.00,322.50
2024-01-09,Bitcoin-Cash,Bitcoin-Cash sees increased usage in decentralized finance,323.00,328.00,320.00,325.00
2024-01-10,Bitcoin-Cash,Positive regulatory developments favor Bitcoin-Cash market,325.50,330.00,322.00,327.50
2024-01-11,Bitcoin-Cash,Bitcoin-Cash faces regulatory scrutiny price drops,330.00,332.00,325.00,328.00
2024-01-12,Bitcoin-Cash,Market uncertainty impacts Bitcoin-Cash negatively,328.50,330.00,323.00,326.50
2024-01-13,Bitcoin-Cash,Security breach shakes confidence in Bitcoin-Cash,326.00,328.00,321.00,324.00
2024-01-14,Bitcoin-Cash,Bitcoin-Cash transaction fees skyrocket users frustrated,324.50,326.00,319.00,322.50
2024-01-15,Bitcoin-Cash,Bitcoin-Cash faces regulatory scrutiny price drops,322.00,324.00,317.00,320.00
2024-01-16,Bitcoin-Cash,Market uncertainty impacts Bitcoin-Cash negatively,320.50,322.00,315.00,318.50
2024-01-17,Bitcoin-Cash,Security breach shakes confidence in Bitcoin-Cash,318.00,320.00,313.00,316.00
2024-01-18,Bitcoin-Cash,Bitcoin-Cash transaction fees skyrocket users frustrated,316.50,318.00,311.00,314.50
2024-01-19,Bitcoin-Cash,Bitcoin-Cash faces regulatory scrutiny price drops,314.00,316.00,309.00,312.00
2024-01-20,Bitcoin-Cash,Market uncertainty impacts Bitcoin-Cash negatively,312.50,314.00,307.00,310.50
2024-01-21,Bitcoin-Cash,Security breach shakes confidence in Bitcoin-Cash,310.00,312.00,305.00,308.00
2024-01-22,Bitcoin-Cash,Bitcoin-Cash transaction fees skyrocket users frustrated,308.50,310.00,303.00,306.50
2024-01-23,Bitcoin-Cash,Bitcoin-Cash faces regulatory scrutiny price drops,306.00,308.00,301.00,304.00
2024-01-24,Bitcoin-Cash,Market uncertainty impacts Bitcoin-Cash negatively,304.50,306.00,299.00,302.50
2024-01-25,Bitcoin-Cash,Security breach shakes confidence in Bitcoin-Cash,302.00,304.00,297.00,300.00
2024-01-26,Bitcoin-Cash,Bitcoin-Cash transaction fees skyrocket users frustrated,300.50,302.00,295.00,298.50
2024-01-27,Bitcoin-Cash,Bitcoin-Cash faces regulatory scrutiny price drops,298.00,300.00,293.00,296.00
2024-01-28,Bitcoin-Cash,Market uncertainty impacts Bitcoin-Cash negatively,296.50,298.00,291.00,294.50
2024-01-29,Bitcoin-Cash,Security breach shakes confidence in Bitcoin-Cash,294.00,296.00,289.00,292.00
2024-01-30,Bitcoin-Cash,Bitcoin-Cash transaction fees skyrocket users frustrated,292.50,294.00,287.00,290.50
2024-01-31,Bitcoin-Cash,Bitcoin-Cash faces regulatory scrutiny price drops,290.00,292.00,285.00,288.00